Date,Harga Ladang
4/8/2014,4.2
11/8/2014,5.15
18/8/2014,5.1
25/8/2014,4.9
1/9/2014,6
8/9/2014,5.55
15/9/2014,4.65
22/9/2014,5.7
29/9/2014,5.7
6/10/2014,5.7
13/10/2014,5.7
20/10/2014,5.5
27/10/2014,5.5
3/11/2014,5.7
10/11/2014,6.3
17/11/2014,7.8
24/11/2014,7.8
1/12/2014,6.6
8/12/2014,5.9
15/12/2014,6.5
22/12/2014,6.5
29/12/2014,8
5/1/2015,7.85
12/1/2015,7.3
19/1/2015,7.1
26/1/2015,6.45
2/2/2015,6.15
9/2/2015,6.3
16/2/2015,8.8
23/2/2015,8.3
2/3/2015,5.9
9/3/2015,6.75
16/3/2015,6.75
23/3/2015,4.3
30/3/2015,4.3
6/4/2015,4.6
13/4/2015,4.6
20/4/2015,5.1
27/4/2015,5.6
4/5/2015,5.45
11/5/2015,7.95
18/5/2015,6.75
25/5/2015,5.15
1/6/2015,5.15
8/6/2015,4.9
15/6/2015,5
22/6/2015,7.85
29/6/2015,6.8
6/7/2015,6.8
13/7/2015,6.8
20/7/2015,5.05
27/7/2015,5.45
3/8/2015,5.4
10/8/2015,5.4
17/8/2015,5.85
24/8/2015,5.55
31/8/2015,6.3
7/9/2015,5.95
14/9/2015,5.95
21/9/2015,4.8
28/9/2015,4.8
5/10/2015,4.7
12/10/2015,4.9
19/10/2015,6.25
26/10/2015,6.95
2/11/2015,7.55
9/11/2015,6.65
16/11/2015,7.95
23/11/2015,6.35
30/11/2015,5.6
7/12/2015,5.6
14/12/2015,5.55
21/12/2015,5.55
28/12/2015,6.3
4/1/2016,6.5
11/1/2016,6.5
18/1/2016,5.55
25/1/2016,5.15
1/2/2016,7.1
8/2/2016,6
15/2/2016,5.65
22/2/2016,5.5
29/2/2016,5.75
7/3/2016,5.65
14/3/2016,6.5
21/3/2016,4.95
28/3/2016,6
4/4/2016,6.2
11/4/2016,6.5
18/4/2016,7.35
25/4/2016,10.45
2/5/2016,11.65
9/5/2016,11.55
16/5/2016,11.35
23/5/2016,10.95
30/5/2016,10.95
6/6/2016,11.05
13/6/2016,10.35
20/6/2016,9.65
27/6/2016,9.55
4/7/2016,9.55
11/7/2016,7.2
18/7/2016,5.3
25/7/2016,5.3
1/8/2016,5.7
8/8/2016,5.95
15/8/2016,7.65
22/8/2016,5.75
29/8/2016,7.65
5/9/2016,6.85
12/9/2016,6.85
19/9/2016,5.7
26/9/2016,5.2
3/10/2016,5.2
10/10/2016,5.2
17/10/2016,5.75
24/10/2016,6.2
31/10/2016,5.75
7/11/2016,5.85
14/11/2016,5.85
21/11/2016,
28/11/2016,7.05
5/12/2016,7.85
12/12/2016,8
19/12/2016,7.15
26/12/2016,6.8
2/1/2017,6.8
9/1/2017,6.95
16/1/2017,6.25
23/1/2017,7.65
30/1/2017,7.7
6/2/2017,6.25
13/2/2017,6.25
20/2/2017,6.25
27/2/2017,5.6
6/3/2017,6.15
13/3/2017,5.95
20/3/2017,5.45
27/3/2017,4.5
3/4/2017,4.05
10/4/2017,4.25
17/4/2017,4.3
24/4/2017,4.4
1/5/2017,4.65
8/5/2017,5.6
15/5/2017,5.95
22/5/2017,5.95
29/5/2017,5.7
5/6/2017,5.35
12/6/2017,5.5
19/6/2017,5.5
26/6/2017,6
3/7/2017,6.45
10/7/2017,6.9
17/7/2017,6.8
24/7/2017,6.35
31/7/2017,5.75
7/8/2017,6.65
14/8/2017,7.8
21/8/2017,7.55
28/8/2017,8.25
4/9/2017,7.9
11/9/2017,8
18/9/2017,8.1
25/9/2017,8.1
2/10/2017,9.3
9/10/2017,6.9
16/10/2017,8.25
23/10/2017,8.75
30/10/2017,8.75
6/11/2017,8.95
13/11/2017,9.4
20/11/2017,8.2
27/11/2017,10.4
4/12/2017,8.6
11/12/2017,9.65
18/12/2017,12
25/12/2017,11
1/1/2018,9.7
8/1/2018,10.2
15/1/2018,11.5
22/1/2018,10.3
29/1/2018,9.2
5/2/2018,9.2
12/2/2018,9.65
19/2/2018,9.65
26/2/2018,8.75
5/3/2018,8.1
12/3/2018,7.9
19/3/2018,7.65
26/3/2018,6.15
2/4/2018,5.85
9/4/2018,5.85
16/4/2018,5.85
23/4/2018,5.75
30/4/2018,6.15
7/5/2018,5.75
14/5/2018,5.25
21/5/2018,5.25
28/5/2018,5.55
4/6/2018,6.2
11/6/2018,5.85
18/6/2018,5.75
25/6/2018,5.65
2/7/2018,5.65
9/7/2018,6.1
16/7/2018,5.75
23/7/2018,5.15
30/7/2018,5
6/8/2018,5.4
13/8/2018,6
20/8/2018,4.75
27/8/2018,4.95
3/9/2018,5.25
10/9/2018,5.6
17/9/2018,5.75
24/9/2018,6.15
1/10/2018,6.35
8/10/2018,6.25
15/10/2018,6.25
22/10/2018,6.35
29/10/2018,6.6
5/11/2018,6.65
12/11/2018,6.5
19/11/2018,6.5
26/11/2018,6.55
3/12/2018,6.3
10/12/2018,6.3
17/12/2018,6.3
24/12/2018,6.7
31/12/2018,7
7/1/2019,6.4
14/1/2019,6.05
21/1/2019,6.2
28/1/2019,6.2
4/2/2019,6.4
11/2/2019,6.4
18/2/2019,6.5
25/2/2019,6.3
4/3/2019,6.55
11/3/2019,6.7
18/3/2019,7.3
25/3/2019,7.3
1/4/2019,8.55
8/4/2019,8.55
15/4/2019,8.55
22/4/2019,6.85
29/4/2019,
6/5/2019,
13/5/2019,
20/5/2019,
27/5/2019,
3/6/2019,
10/6/2019,
17/6/2019,
24/6/2019,8.55
1/7/2019,8.55
8/7/2019,8.65
15/7/2019,8.65
22/7/2019,8.1
29/7/2019,7.4
5/8/2019,6.7
12/8/2019,6.7
19/8/2019,6.65
26/8/2019,6.55
2/9/2019,
9/9/2019,6.45
16/9/2019,6.45
23/9/2019,6.45
30/9/2019,6.8
7/10/2019,6.8
14/10/2019,6.75
21/10/2019,6.85
28/10/2019,7
4/11/2019,6.55
18/11/2019,
25/11/2019,
2/12/2019,5.1
9/12/2019,5.3
16/12/2019,5.35
23/12/2019,5.4
30/12/2019,5.4
6/1/2020,5.8
13/1/2020,5.2
20/1/2020,5.65
27/1/2020,6.2
3/2/2020,5.95
10/2/2020,5.95
17/2/2020,5.6
24/2/2020,5.3
