Date,Harga Ladang
12/29/2008,0.28
1/5/2009,0.28
1/12/2009,0.28
1/19/2009,0.28
1/26/2009,0.27
2/2/2009,0.28
2/9/2009,0.28
2/16/2009,0.29
2/22/2009,0.28
3/2/2009,0.28
3/9/2009,0.27
3/16/2009,0.27
3/23/2009,0.26
3/30/2009,0.26
4/6/2009,0.25
4/13/2009,0.25
4/20/2009,0.25
4/27/2009,0.25
5/4/2009,0.25
5/11/2009,0.26
5/18/2009,0.27
5/25/2009,0.27
6/1/2009,0.25
6/8/2009,0.27
6/15/2009,0.27
6/22/2009,0.27
6/29/2009,0.28
7/6/2009,0.28
7/13/2009,0.28
7/20/2009,0.28
7/27/2009,0.28
8/3/2009,0.28
8/10/2009,0.28
8/17/2009,0.29
8/24/2009,0.28
8/31/2009,0.28
9/7/2009,0.27
9/14/2009,0.27
9/21/2009,0.27
9/28/2009,0.26
10/5/2009,0.25
10/12/2009,0.24
10/19/2009,0.24
10/26/2009,0.25
11/2/2009,0.25
11/9/2009,0.25
11/16/2009,0.26
11/23/2009,0.27
11/30/2009,0.28
12/7/2009,0.28
12/14/2009,0.28
12/21/2009,0.28
12/28/2009,0.28
1/4/2010,0.28
1/11/2010,0.28
1/18/2010,0.28
1/25/2010,0.27
2/1/2010,0.26
2/8/2010,0.26
2/15/2010,0.27
2/22/2010,0.27
3/1/2010,0.26
3/8/2010,0.26
3/15/2010,0.26
3/22/2010,0.26
3/29/2010,0.26
4/5/2010,0.26
4/12/2010,0.26
4/19/2010,0.26
4/25/2010,0.26
5/3/2010,0.26
5/10/2010,0.26
5/17/2010,0.26
5/24/2010,0.27
5/31/2010,0.28
6/7/2010,0.28
6/14/2010,0.28
6/21/2010,0.28
6/28/2010,0.29
7/5/2010,0.29
7/12/2010,0.29
7/19/2010,0.29
7/26/2010,0.29
8/2/2010,0.29
8/9/2010,0.29
8/16/2010,0.3
8/23/2010,0.3
8/30/2010,0.28
9/6/2010,0.28
9/13/2010,0.29
9/20/2010,0.28
9/27/2010,0.27
10/4/2010,0.26
10/11/2010,0.27
10/18/2010,0.28
10/25/2010,0.29
11/1/2010,0.29
11/8/2010,0.29
11/15/2010,0.3
11/22/2010,0.3
11/29/2010,0.3
12/6/2010,0.3
12/13/2010,0.3
12/20/2010,0.3
12/27/2010,0.29
1/3/2011,0.29
1/10/2011,0.29
1/17/2011,0.29
1/24/2011,0.29
1/31/2011,0.3
2/7/2011,0.3
2/14/2011,0.3
2/21/2011,0.3
2/28/2011,0.3
3/7/2011,0.3
3/14/2011,0.29
3/21/2011,0.29
3/28/2011,0.29
4/4/2011,0.29
4/11/2011,0.29
4/18/2011,0.29
4/25/2011,0.29
5/2/2011,0.29
5/9/2011,0.29
